eventType,player,startX,startY,endX,endY,time,outcome,possession
Clearance,Luch,87.30000000000001,23.599999999999998,74.5,25.8,96.32,Unsuccessful,
Pass,Ash,87.30000000000001,23.599999999999998,43.9,72.6,129.25,Unsuccessful,Throw-in
Pass,Kalen,87.30000000000001,23.599999999999998,52.300000000000004,71.6,131.68,Open Play,Throw-in
Pass,Luch,87.30000000000001,23.599999999999998,52.625,54.400000000000006,139.91,Success,
Pass,Christian,87.30000000000001,23.599999999999998,67.44375,38.6,141.54,Success,
Pass,Mathias,87.30000000000001,23.599999999999998,47.334375,0.8,144.60,Unsuccessful,
Pass,Alex,87.30000000000001,23.599999999999998,71.734375,5.2,181.32,Success,
Pass,Christian,87.30000000000001,23.599999999999998,77.034375,2.2,182.41,Success,
Clearance,Mathias,87.30000000000001,23.599999999999998,66.434375,18.799999999999997,185.51,Unsuccessful,
Clearance,Mathias,87.30000000000001,23.599999999999998,67.965625,13,191.52,Unsuccessful,
Pass,Peter,87.30000000000001,23.599999999999998,110.078125,61.2,214.40,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,15.478125000000002,66.39999999999999,224.24,Unsuccessful,
Pass,Kalen,87.30000000000001,23.599999999999998,29.515625,70.4,245.82,Success,Throw-in
Pass,Luch,87.30000000000001,23.599999999999998,21.115625,78.4,247.31,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,22.115625,72.4,247.77,Unsuccessful,
Pass,Kalen,87.30000000000001,23.599999999999998,41.515625,38.6,259.58,Unsuccessful,
Pass,Mathias,87.30000000000001,23.599999999999998,66.115625,4.6000000000000005,293.73,Success,Throw-in
Pass,Mathias,87.30000000000001,23.599999999999998,64.915625,1.7999999999999998,323.34,Unsuccessful,Throw-in
Clearance,Peter,87.30000000000001,23.599999999999998,49.115625,34.8,377.58,Success,
Pass,Erion,87.30000000000001,23.599999999999998,34.915625,33.6,378.81,Success,
Clearance,Mathias,87.30000000000001,23.599999999999998,31.715625,6,405.09,Success,
Pass,Noah,87.30000000000001,23.599999999999998,19.315624999999997,2.2,407.22,Success,
Pass,Alex,87.30000000000001,23.599999999999998,18.315624999999997,9.399999999999999,420.32,Success,Throw-in
Pass,Noah,87.30000000000001,23.599999999999998,18.115625,1.6,422.31,Success,
Pass,Alex,87.30000000000001,23.599999999999998,32.315625,2.4,423.96,Success,
Pass,Noah,87.30000000000001,23.599999999999998,10.915624999999999,26.8,426.23,Unsuccessful,
Pass,Imran,87.30000000000001,23.599999999999998,16.115625,40.4,429.65,Unsuccessful,
Pass,Luch,87.30000000000001,23.599999999999998,19.115625,27,436.47,Unsuccessful,
Clearance,Mathias,87.30000000000001,23.599999999999998,38.515625,27.400000000000002,442.00,Unsuccessful,
Clearance,Erion,87.30000000000001,23.599999999999998,87.315625,52.800000000000004,490.48,Unsuccessful,Corner
